,Prob,Word
0,0.069626850114655,field
1,0.06955736224028906,form
2,0.03516086442915711,text
3,0.028212076992564797,select
4,0.023069974289486483,input
5,0.022444583420193176,option
6,0.019734556319922172,box
7,0.019248141199360712,valu
8,0.018970189701897018,dropdown
9,0.018970189701897018,label
10,0.017094017094017096,save
11,0.01570425960669863,search
12,0.014661941491209784,bind
13,0.013828086998818706,submit
14,0.010562156903620319,enter
15,0.010214717531790703,edit
16,0.009797790285595165,default
17,0.009380863039399626,properti
18,0.009172399416301855,display
19,0.009102911541935932,widget
20,0.009033423667570008,chang
21,0.008894447918838163,requir
22,0.008338544923910778,fill
23,0.00819956917517893,drop
24,0.007991105552081162,suggest
25,0.00729622680842193,textbox
26,0.007226738934056007,question
27,0.006670835939128622,checkbox
28,0.006531860190396776,inform
29,0.006531860190396776,check
