,Prob,Word
0,0.052759699935416564,error
1,0.05261066123503403,script
2,0.05017636246211933,file
3,0.0491330915594416,function
4,0.02826767350588703,work
5,0.025336579065030552,run
6,0.024044910328381935,client
7,0.02012022455164191,server
8,0.01649361617566695,document
9,0.016344577475284415,drive
10,0.014456753937105668,problem
11,0.014307715236723136,element
12,0.01361220130160465,html
13,0.013165085200457052,upload
14,0.012568930398926922,javascript
15,0.011873416463808436,side
16,0.011674698196631726,execut
17,0.011227582095484127,consol
18,0.009786874658452979,fine
19,0.009439117690893735,ive
20,0.00914104029012867,add
21,0.009091360723334493,folder
22,0.008743603755775249,find
23,0.008197128521039296,librari
24,0.008197128521039296,version
25,0.00789905112027423,refer
26,0.00789905112027423,map
27,0.007600973719509166,js
28,0.007352575885538278,read
29,0.00710417805156739,picker
