Id,Title,Link,tag1,Tag2,Tag3,Tag4,tag5,isProblematic,Label1,Label2,Label3,Notes,ansLabel1,ansLabel2,ansLabel3,ansNotes
4556252,Open documents in browser with zoho api,https://stackoverflow.com/questions/4556252,Permission,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],,,,,integration ,access permission,,,,,,
4598926,Send php form to 2 locations,https://stackoverflow.com/questions/4598926,Data binding,Tutorial [How to do this ],,,,,jQuery,form,action,,,,,
4804623,Moodle - Zoho CRM Integration,https://stackoverflow.com/questions/4804623,Tutorial [How to do this ],Application Customization [QR code | Automatic value| Show/Hide Component| Pagination],,,,,moodle,integration,CRM,,,,,
5454541,Best Technology suited for building E-Commerce Applications and the review on Supported Frameworks,https://stackoverflow.com/questions/5454541,,,,,,negative score,,,,suggestion,,,,
5552901,Link between zoho crm and Moodle,https://stackoverflow.com/questions/5552901,Tutorial [How to do this ],,,,,,moodle integration,database,,,ge,,,
7048854,How to retrieve FeedComment using Chatter SalesForce WSDL service in C#,https://stackoverflow.com/questions/7048854,Tutorial [How to do this ],General programming query [JSON to CSV/excel],,,,,retrieve comments,WSDL API,,,,,,
7304006,File Upload using Chatter REST API,https://stackoverflow.com/questions/7304006,API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| ],,,,,uploading file,REST API,,,,,,
7383641,How to post a new thread and new comments to a current thread in iOS to Salesforce's Chatter feed,https://stackoverflow.com/questions/7383641,Tutorial [How to do this ],,,,,,posting chatter thread,posting chatter comment,ios Client,,,,,
7679733,How could I 'attach' an ASP.NET byte array to a 'file' type input field on a form?,https://stackoverflow.com/questions/7679733,,General programming query [JSON to CSV/excel],,,,,attaching byte array,file type input,,,,,,
7699717,Salesforce Oauth 2.0 Authorization screen,https://stackoverflow.com/questions/7699717,,Session/Authentication [social auth | oaut2 | jtoken],,,,,authoraization screen,,,,,,,
7839597,Can I mention a group of users on a Salesforce Chatter post?,https://stackoverflow.com/questions/7839597,Queries on Platform [plaform comparision | platform features],,,,,,mentioning group of users,,,,,,,
8005085,"convert xml response (from ZohoCRM) to simple ""key=value"" pairs (for SurveyGizmo) using php or Zoho Creator",https://stackoverflow.com/questions/8005085,General programming query [JSON to CSV/excel],,,,,,converting response,key-value pair,Gizmo,,,,,
8040701,Salesforce apex - how to determine if a field is set to be tracked in Chatter?,https://stackoverflow.com/questions/8040701,Application Customization [QR code | Automatic value| Show/Hide Component| Pagination],,,,,,field track,Apex,,,,,,
8067099,How to add Search layouts in Salesforce package,https://stackoverflow.com/questions/8067099,Tutorial [How to do this ],,,,,,adding search layout,,,,,,,
8123314,Posting data in PHP Curl,https://stackoverflow.com/questions/8123314,General programming query [JSON to CSV/excel],,,,,,posting content ,PHP Curl,,,,,,
8430681,Chatter : getDeleted EntitySubscription and FeedLike,https://stackoverflow.com/questions/8430681,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],,,,,,retrieve deleted records,,,,,,,
8430696,Chatter : SOQL for fetching CommentLikes,https://stackoverflow.com/questions/8430696,Database CRUD [Complex Database query| DB query for M:M data model| DB query unexpected| ],,,,,,fetching CommentLikes,database,SQL,,,,,
8522884,Java Client Consuming .NET WCF over SSL (WS-Policy not supported),https://stackoverflow.com/questions/8522884,wrong tag,,,,,,WS-Policy ,configure WCF,,,,,,
8657698,Detect Whether User Is Running Sales Or Service Cloud On Salesforce,https://stackoverflow.com/questions/8657698,Tutorial [How to do this ],,,,,,cloud type detection,,,,,,,
8980486,"Zoho Remote API - cannot save files back to our server - ""Document format not supported. Error in saving content.""",https://stackoverflow.com/questions/8980486,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| ],,,,,,saving files,,,,,,,
9041860,Using third-party SDK's for Objective-C in Xamarin?,https://stackoverflow.com/questions/9041860,Queries on Platform [plaform comparision | platform features],,,,,,Xamarian,,,,,,,
9054254,OAuth lib for Chrome Extensions and Salesforce API,https://stackoverflow.com/questions/9054254,,Session/Authentication [social auth | oaut2 | jtoken],,,,,authoraization,Salesforce APIs,Chrome Extension,,,,,
9076585,How to work with quickbase queries,https://stackoverflow.com/questions/9076585,Tutorial [How to do this ],API Integration [Updating Integrated API versions | API unexpected response | Connecting external services | Ambiguous sample code integration],,,,,update record ,query,,,,,,
9139207,I have found this error while am adding data to quickbase database?,https://stackoverflow.com/questions/9139207,Debugging Error/crash [why this does not work| Application Code change not executed| Broken UI| Functionalities not working| boken UI| ],,,,,,database,adding data,,,,,,
9168994,SOQL - Querying for a list of users the current user is following,https://stackoverflow.com/questions/9168994,Database CRUD [Complex Database query| DB query for M:M data model| DB query unexpected| ],,,,,,following user query,,,,,,,
9187799,Salesforce-Cross Object Field,https://stackoverflow.com/questions/9187799,Database [connection| sclability| model design| Export/import data| Database design| DB scalability| DB Admin Authorization|,,,,,,cross object field,,,,,,,
9257823,How do i do the following task with quickbase?,https://stackoverflow.com/questions/9257823,,,,,,,adding history check,table data adding,,,,,,
9372228,cant call api method using xml in url,https://stackoverflow.com/questions/9372228,,,,,,,API call,xml in url,,,,,,
9391137,Can servers block curl requests?,https://stackoverflow.com/questions/9391137,General query [HTTP error header message  explanation | Feature usage query | Learning curve],,,,,,curl request,,,,,,,
9481841,Create textbox (label) with click on link Javascript,https://stackoverflow.com/questions/9481841,,,,,,,textbox creation,,,,,,,
9588748,QuickBase Perl API: Not able to edit a Record,https://stackoverflow.com/questions/9588748,,,,,,,editing a record,Perl API,,,,,,
9766725,new line character in product description,https://stackoverflow.com/questions/9766725,,,,,,,new line character,,,,,,,
9802779,how to enable files api in salesforce integration project?,https://stackoverflow.com/questions/9802779,,,,,,,integration,,,,,,,
9959449,Using PHP to insert records to Zoho CRM via the API,https://stackoverflow.com/questions/9959449,Documentation [incorrent| incomplete| ambiguous| Ambiguous sample code integration],,,,,,CRM,inset records,,,,,,
9980294,Quickbase API returns data in CP1252 encoding but says it's returning UTF-8,https://stackoverflow.com/questions/9980294,,,,,,,encoding,,,,,,,
10042002,SQL Query Issue Sum,https://stackoverflow.com/questions/10042002,,,,,,,sum query,,,,,,,
10152372,how to add QuickBase a CodeIgniter,https://stackoverflow.com/questions/10152372,,,,,,,CodeIgniter framework,integration,,,,,,
10170940,salesforce rest api,https://stackoverflow.com/questions/10170940,,,,,,,WSDL ,REST API,,,,,,
10215293,Can I add a custom widget to Salesforce Service Cloud Console?,https://stackoverflow.com/questions/10215293,,,,,,,adding custom widget,cloud console,,,,,,
10247749,Exporting tables from QuickBase,https://stackoverflow.com/questions/10247749,,,,,,,exporting table,,,,,,,
10476572,How to get records from Quickbase in asp.net application?,https://stackoverflow.com/questions/10476572,,,,,,,retrieve table records,ASP.net,,,,,,
10557731,QuickBase jQuery/Ajax call puzzler,https://stackoverflow.com/questions/10557731,,,,,,,jQuery,xml parsing,,,,,,
10586848,Salesforce API Requests number keeps increasing,https://stackoverflow.com/questions/10586848,,,,,,,increasing API call,,,,,,,
10673123,"UrlFetchApp fetch post to Zoho Creator API, Zoho needs the session to be closed",https://stackoverflow.com/questions/10673123,,,,,,,UrlFetchApp,session closing,,,,,,
10690115,How to build a Bridge and sync magento and zoho both ways,https://stackoverflow.com/questions/10690115,,,,,,,magneto integration,,,,,,,
10761717,add new section to lead to call api depending on the lead url,https://stackoverflow.com/questions/10761717,,,,,,,section add,,,,,,,
10784169,"Get Zoho CRM PickList (Lead Source,Industry, Currency , etc..) values via API",https://stackoverflow.com/questions/10784169,,,,,,,lead source field,CRM,,,,,,
10898993,put a page break when specific chracter found in visual force,https://stackoverflow.com/questions/10898993,,,,,,,,,,,,,,
10919857,simple xml not working on live server,https://stackoverflow.com/questions/10919857,,,,,,,xml,live server,,,,,,
10923870,Is this a normal xml format?,https://stackoverflow.com/questions/10923870,,,,,,,,,,,,,,
10930561,Save Zoho Creator form in crm and in mysql database,https://stackoverflow.com/questions/10930561,,,,,,,creating form,CRM,MySQL database,,,,,
11064969,Create a Login screen via SalesForce,https://stackoverflow.com/questions/11064969,,,,,,,login screen,,,,,,,
11171081,Insert Data from MySQL to Zoho Reports with the Upload Tool,https://stackoverflow.com/questions/11171081,,,,,,,upload tool,MySQL database,,,,,,
11248169,Automating Salesforce Security Checks,https://stackoverflow.com/questions/11248169,,,,,,,automating security check,,,,,,,
11306027,Salesforce Milestone Not Reached On Approval Process Action,https://stackoverflow.com/questions/11306027,,,,,,,milestone,approval process,,,,,,
11316689,Audit of what records a given user can see in SalesForce.com,https://stackoverflow.com/questions/11316689,,,,,,,auditing user behaviour ,,,,,,,
11352675,Posting Data from form (xml) to Zoho CRM with php and cURL,https://stackoverflow.com/questions/11352675,,,,,,,CRM,,,coding ,,,,
11446885,Sales force chatter trigger,https://stackoverflow.com/questions/11446885,,,,,,,trigger,,,,,,,
11446885,Sales force chatter trigger,https://stackoverflow.com/questions/11446885,,,,,,,,,,,,,,
11513122,Examples of Quickbase API in C#,https://stackoverflow.com/questions/11513122,,,,,,,,,,suggestion,,,,
11698968,Embedding client Id in chrome extension,https://stackoverflow.com/questions/11698968,,,,,,,,,,,,,,
11718933,Retrieving the changes happened in the posts liked by user - Salesforce chatter,https://stackoverflow.com/questions/11718933,,,,,,,changes retrieval,,,,,,,
12004748,Assembla Redmine JIRA Zoho Yodiz review and/or alternatives,https://stackoverflow.com/questions/12004748,,,,,,,,,,suggestion,,,,
12020334,post to chatter from javascript,https://stackoverflow.com/questions/12020334,,,,,,,chatter posting ,javascript,,,,,,
12028626,consume salesforce chatter rest service from pure javascript,https://stackoverflow.com/questions/12028626,,,,,,,browser extension,,,,,,,
12031216,"Zoho API inserRecord using Curl and XML, not returning an error and not adding the ""Potential""",https://stackoverflow.com/questions/12031216,,,,,,,xml,potential,,,,,,
12087385,Losing tags and data when parsing XML string with Simple XML,https://stackoverflow.com/questions/12087385,,,,,,,,,,coding ,,,,
12242168,Lock any action on a page using JavaScript,https://stackoverflow.com/questions/12242168,,,,,,,action lock,,,,,,,
12270740,Dynamic Div Height jQuery.Load() not working,https://stackoverflow.com/questions/12270740,,,,,,,dynamic change,jQuery,,,,,,
12318829,how to get zoho editor in AjaXplorer?,https://stackoverflow.com/questions/12318829,,,,,,,ajaxplorer ,zoho editor,,,,,,
12382382,CKEditor - throws 404 page not found error,https://stackoverflow.com/questions/12382382,,,,,,,CK editor ,edit and save,,,,,,
12412269,"XML error Open quote is expected for attribute ""value"" when programming in PHP",https://stackoverflow.com/questions/12412269,General programming query [JSON to CSV/excel],,,,,,,,,coding,,,,
12504547,AFNetworking (400 error on POST),https://stackoverflow.com/questions/12504547,,,,,,,SFDC,,,,,,,
12507134,Outsystems - tab issue,https://stackoverflow.com/questions/12507134,,,,,,,runtime control ,tab,,,,,,
12559029,Fix up the column headers - Outsystems,https://stackoverflow.com/questions/12559029,,,,,,,column headers,,,,,,,
12729100,Salesforce: Create timer on objects - is it possible?,https://stackoverflow.com/questions/12729100,,,,,,,timer on object,,,,,,,
12892318,CKEditor - change availabe options,https://stackoverflow.com/questions/12892318,,,,,,,view change,CK editor,,,,,,
13039389,Modifying a Trigger for Opportunity so it will not update Manager if's it's been Closed/Won,https://stackoverflow.com/questions/13039389,,,,,,,opportunity,trigger,,,,,,
13056153,Get last record ID from QB PHP wrapper Query,https://stackoverflow.com/questions/13056153,,,,,,,query,last record,,,,,,
13063536,CK Editor - data loss,https://stackoverflow.com/questions/13063536,,,,,,,data loss,CK editor,,,,,,
13085151,Textbox default value - OutSystems,https://stackoverflow.com/questions/13085151,,,,,,,textbox default value,,,,,,,
13267422,HTML to PDF Converter issue - Outsystems,https://stackoverflow.com/questions/13267422,,,,,,,pdf converter,,,,,,,
13364414,How to hide table class until data is returned?,https://stackoverflow.com/questions/13364414,,,,,,,blank table hide,,,,,,,
13393253,Create a web service in java to receive outbound message in salesforce,https://stackoverflow.com/questions/13393253,,,,,,,outbound message,,,,,,,
13480693,Creating a javascript validation error,https://stackoverflow.com/questions/13480693,,,,,,,validation error,,,,,,,
13561945,"Slider for outsystems using jquery, javascript",https://stackoverflow.com/questions/13561945,,,,,,,slider component,,,,,,,
13767870,Apex - Salesforce.com - I need help writing an APEX class to test my working trigger - Chatter - Monitor specific keywords,https://stackoverflow.com/questions/13767870,,,,,,,testing,Apex,,,,,,
13825378,Get XML data from Zoho Creator API,https://stackoverflow.com/questions/13825378,,,,,,,xml data,Zoho Creator API,,,,,,
13834716,Rails ActionMailer configuration for Zoho,https://stackoverflow.com/questions/13834716,,,,,,,ActionMailer,,,,,,,
13929746,Generate multiple PDF automatically from salesforce. Avoid getContent(),https://stackoverflow.com/questions/13929746,,,,,,,authentication,external application calling,,,,,,
13991036,What is app in salesforce,https://stackoverflow.com/questions/13991036,,,,,,,,,,suggestion,,,,
14001746,Unable to synchronize resource src to server:ClassCastException,https://stackoverflow.com/questions/14001746,,,,,,,synchronization,,,,,,,
14281766,Core understanding f what salesforce is,https://stackoverflow.com/questions/14281766,,,,,,,,,,information,,,,
14475459,show users list in zoho crm,https://stackoverflow.com/questions/14475459,,,,,,,user list,CRM,,,,,,
14487518,editing autofollow with salesforce chatter,https://stackoverflow.com/questions/14487518,,,,,,,autofollow fearure,enterprise account,,,,,,
14534834,How to open a child browser window and then execute a script on the newly loaded child browser page to click a link in it,https://stackoverflow.com/questions/14534834,,,,,,,loading new window,,,,,,,
14598065,Javascript tooltip help and color change,https://stackoverflow.com/questions/14598065,,,,,,,tooltip,color change,,,,,,
14634758,Installing Salesforce apps via code,https://stackoverflow.com/questions/14634758,,,,,,,app install,,,,,,,
14907056,which value should pass to Lookup Relationship field?,https://stackoverflow.com/questions/14907056,,,,,,,Lead,Lookup Relationship,,,,,,
15006547,Getting a dbid by table name,https://stackoverflow.com/questions/15006547,,,,,,,dbid,database,,,,,,
15045253,xsd schema application to xml document?,https://stackoverflow.com/questions/15045253,,,,,,,xsd schema conversion,,,,,,,
15106856,bryntum component integration,https://stackoverflow.com/questions/15106856,,,,,,,bryntum component,integration,CRM,,,,,
15224492,Fetching data from event table in zoho crm,https://stackoverflow.com/questions/15224492,,,,,,,event table,record collection,,,,,,
15239231,Company-wide chatter access through REST api,https://stackoverflow.com/questions/15239231,,,,,,,company-wide access,,,,,,,
15580847,SOQL Query not bringing back parent with no comments,https://stackoverflow.com/questions/15580847,,,,,,,,,,,,,,
15763574,UrlFetchApp.fetch with API,https://stackoverflow.com/questions/15763574,,,,,,,database,SOQL query,,,,,,
15919715,upload a file to salesforce using connector,https://stackoverflow.com/questions/15919715,,,,,,,google apps script,,,,,,,
16001298,Phpmailer from address failed,https://stackoverflow.com/questions/16001298,,,,,,,phpmailer ,,,,,,,
16087271,Restsharp will not populate my class with a Zoho CRM request,https://stackoverflow.com/questions/16087271,,,,,,,RestSharp,CRM,,,,,,
16152727,Find first occurrence of pattern in regex,https://stackoverflow.com/questions/16152727,,,,,,,regex,,,,,,,
16163032,Need a component for the Column grouping - Outsystems,https://stackoverflow.com/questions/16163032,,,,,,,column grouping,,,,,,,
16200946,Zoho CRM lead insert via PHP,https://stackoverflow.com/questions/16200946,,,,,,,insert leads,form ,PHP ,,,,,
16306006,Using PayPal and zoho creator for credit card charge,https://stackoverflow.com/questions/16306006,,,,,,,PayPal integration,,,,,,,
16437979,How to pass values from multiple selectlists in same VF containing similar list data to Apex extension using a single variable/array,https://stackoverflow.com/questions/16437979,,,,,,,multiple selectlist,,,,,,,
16563253,Are we able to modify the chatter digest content?,https://stackoverflow.com/questions/16563253,,,,,,,modify content,chatter digest mail,,,,,,
16617053,javascript to check string in this format,https://stackoverflow.com/questions/16617053,,,,,,,,,,coding,,,,
16819801,Rails EOFError (end of file reached) when saving a devise user,https://stackoverflow.com/questions/16819801,,,,,,,zoho mail,SSL smtp setting,,,,,,
16911661,Sync the zoho crm with sql database using c# code,https://stackoverflow.com/questions/16911661,,,,,,,synchronization,database,CRM,,,,,
16930202,Override standard buttons in salesforce service cloud console,https://stackoverflow.com/questions/16930202,,,,,,,overriding,cloud console,,,,,,
16937042,Synchronize offline records from salesforce iPhone native app to salesforce (Using smartstore),https://stackoverflow.com/questions/16937042,,,,,,,synchronize offline records,SmartStore API,,,,,,
16942433,How to Create a read-only group in SalesForce,https://stackoverflow.com/questions/16942433,,,,,,,read only group creation,,,,,,,
17126323,Parsing a complex JSON result with C#,https://stackoverflow.com/questions/17126323,,,,,,,,,,coding,,,,
17220341,Automatically Login to Zoho Applications,https://stackoverflow.com/questions/17220341,,,,,,,automatic login,,,,,,,
17273496,Insert Lead in ZOHO CRM usinh PHP cURL,https://stackoverflow.com/questions/17273496,,,,,,,dynamic data,insert lead,,,,,,
17313690,Can't Access salesforce Attachments raw/binary data in iphone,https://stackoverflow.com/questions/17313690,,,,,,,binary data attachment ,iphone app,,,,,,
17389702,How much Maximum Data we can store in a File in salesforce,https://stackoverflow.com/questions/17389702,,,,,,,id storing file,large file storing,,,,,,
17575941,How do I get a Security Token? ... Chatter Free Salesforce User - PE w/ API,https://stackoverflow.com/questions/17575941,,,,,,,security token,free account,,,paid account,pulling feed,,
17758355,"System.DmlException: Update failed. first error: INVALID_CROSS_REFERENCE_KEY,",https://stackoverflow.com/questions/17758355,,,,,,,ObjectPermissions update,access permission,,,,,,
17801810,Android-SalesforceSDK By Pass oAuth login,https://stackoverflow.com/questions/17801810,,,,,,,oAuth bypass,,,,,,,
17886545,Can't Connect to SalesForce in C#,https://stackoverflow.com/questions/17886545,,,,,,,security token,,,,documentation lacking,password format,,
17926933,Error in getting salesforce attachment Blob in iOS?,https://stackoverflow.com/questions/17926933,,,,,,,binary data attachment ,iphone app,,,,,,
17934697,Apex - Test class adding Chatter Free users,https://stackoverflow.com/questions/17934697,,,,,,,adding test class ,,,,bug,,,
17958629,How To Populate Multidimensional Array with jQuery in QuickBase,https://stackoverflow.com/questions/17958629,,,,,,,multidimensional array population,,,,,,,
17969305,Accessing Chatter API using JavaScript (same origin issue)?,https://stackoverflow.com/questions/17969305,,,,,,,chatter aPI access,JSONP ,,,,,,
18041364,Salesforce is not creating lead and it doesn't return Lead Id,https://stackoverflow.com/questions/18041364,,,,,,,access token ,lead creation,,,,,,
18096689,Zoho XML formatting issue,https://stackoverflow.com/questions/18096689,,,,,,,CRM,form xml,,,,,,
18102800,Passing data to Open CTI softphone from Salesforce,https://stackoverflow.com/questions/18102800,,,,,,,open CTI,,,,HTML5 postMessage,,,
18234790,Zoho email forwarding,https://stackoverflow.com/questions/18234790,,,,,,,forwarding email,,,,multi-forwarding restriction,,,
18270581,"How to set quickbase permissions to add records , Edit records",https://stackoverflow.com/questions/18270581,,,,,,,Codeignitor integration,permission,,,user role,,,
18321902,Count of occurrences per row ignoring the duplicates,https://stackoverflow.com/questions/18321902,,,,,,,sql query,duplicate occurance,,,,,,query bug
18335697,Send email through Zoho SMTP,https://stackoverflow.com/questions/18335697,,,,,,,email sending,SMTP server connection,,,smtplib use,Django specific,,
18368258,Error: Compile Error: Method does not exist or incorrect signature: ConnectApi.BinaryInput,https://stackoverflow.com/questions/18368258,,,,,,,setting photo,,,,ConnectApi.BinaryInput instance creation,,,
18440385,row from datatable does not updated in salesforce,https://stackoverflow.com/questions/18440385,,,,,,,row data update ,actionPollar,,,pollar stop,viewState split,,
18557198,Query to select Single Best Record based on a Column Value,https://stackoverflow.com/questions/18557198,,,,,,,query ,database,,,query structure,,,
18580277,Chatter Moderator User Security Token,https://stackoverflow.com/questions/18580277,,,,,,,security token,moderator user,,,,,,
18580277,Chatter Moderator User Security Token,https://stackoverflow.com/questions/18580277,,,,,,,,,,,,,,
18617586,Where to store XML or PHP file when linking Zoho CRM to Kashflow,https://stackoverflow.com/questions/18617586,,,,,,,API linking,storing coding file,Kashflow,,CRM's webhook,,,
18624062,Using JavaScript for form confirmation message (with Zoho contact form),https://stackoverflow.com/questions/18624062,,,,,,,form action,CRM,,,,,,
18730532,Unable to parse datatype error when sending a Curl POSted XML,https://stackoverflow.com/questions/18730532,,,,,,,post xml structure,Zoho Recruit API,,,parameter format,,,
18757399,How should I insert notes in zoho crm using api in ruby on rails,https://stackoverflow.com/questions/18757399,,,,,,,CRM,notes insert,,,,,,
18813474,What will be the Correct Defination of Junction Object in Salesforce,https://stackoverflow.com/questions/18813474,,,,,,,Junction Object,,,,,,,
18933749,User Object is not Showing in Master Detail Relationship,https://stackoverflow.com/questions/18933749,,,,,,,master-detail relationship,,,,,,,
19102367,How to hide or prevent from generating left navigation feature from an Appian Tempo form at runtime,https://stackoverflow.com/questions/19102367,,,,,,,left navigation,,,,,,,
19109573,XML Data Fetching Code,https://stackoverflow.com/questions/19109573,,,,,,,data extraction,,,,,,,
19112286,Salesforce licenses,https://stackoverflow.com/questions/19112286,,,,,,,uploading app,license ,,,,,,
19112286,Salesforce licenses,https://stackoverflow.com/questions/19112286,,,,,,,,,,,,,,
19223588,How to interact Users(input form data) Using Salesforce Sites into the SalesForce Application(to Custom objects),https://stackoverflow.com/questions/19223588,,,,,,,input form data,,,,,,,
19289621,Integration of ZOHO CRM with MySQL using PHP...!,https://stackoverflow.com/questions/19289621,,,,,,,integrate database,PHP,,,,,,
19290354,Query image from SalesForce as blob,https://stackoverflow.com/questions/19290354,,,,,,,image data query,,,,,,,
19432016,connecting with zoho inside java application and sending contact information to ZOHO CRM Contacts,https://stackoverflow.com/questions/19432016,,,,,,,connecting CRM ,external application,Java,,,,,
19438872,"Written Very Basic APEX Class, How Can my Customers get to access it?",https://stackoverflow.com/questions/19438872,,,,,,,getting contact,,,,,,,
19478478,Unable to run Chatter api ios sample,https://stackoverflow.com/questions/19478478,,,,,,,Chatter API,ios,,,,,,
19495048,posting a custom html form data into zoho crm,https://stackoverflow.com/questions/19495048,,,,,,,post data to CRM,,,,,,,
19654786,Programatically determine the data size in bytes of a search operation,https://stackoverflow.com/questions/19654786,,,,,,,,,,coding,,,,
19796320,How do I construct a Salesforce Chatter FeedItem in Apex,https://stackoverflow.com/questions/19796320,,,,,,,FeedItem,trigger,,,HTML formatting post,,,
19802076,praogramatically fetch any particular object's related objects from its related list,https://stackoverflow.com/questions/19802076,,,,,,,clonning object,get object's related post,,,,,,code snippet
20089789,Sync smartStore offline Data to Salesforce DB,https://stackoverflow.com/questions/20089789,,,,,,,database,structured documentaion,,,,,,
20176524,Getting no response on Zoho API CRM,https://stackoverflow.com/questions/20176524,,,,,,,,,,user's coding problem,,,,
20183529,Send email using smtp but operation timed out using ZOHO,https://stackoverflow.com/questions/20183529,,,,,,,,,,smtp port define problem,,,,
20287085,looping over a set of elements in Salesforce,https://stackoverflow.com/questions/20287085,,,,,,,database,looping over many elements,,,,,,
20437820,How do I find an element in an aura component from the client-side controller?,https://stackoverflow.com/questions/20437820,,,,,,,reference getting of component,,,,,,,
20468863,Connect salesforce to ftp using http request,https://stackoverflow.com/questions/20468863,,,,,,,server connection,,,,,,,
20486048,Salesforce OAuth2 missing_oauth_token,https://stackoverflow.com/questions/20486048,,,,,,,oauth token,,,,,,,
20628669,salesforce Element {}item invalid at this location,https://stackoverflow.com/questions/20628669,,,,,,,connecting database,,,,,,,
20693110,Zoho Creator: Sort sub-form records in both Main Forms and Views/Reports,https://stackoverflow.com/questions/20693110,,,,,,,sorting sub-form records,,,,,,,
20738551,How to view standard objects in salesforce online?,https://stackoverflow.com/questions/20738551,,,,,,,viewing shortcomming,,,,,,,
20755712,How can i receive Salesforce Outbound Message from Mule?,https://stackoverflow.com/questions/20755712,,,,,,,outbound message,mule,,,,,,
20770100,What is the Endpoint URL in Mule?,https://stackoverflow.com/questions/20770100,,,,,,,endpoint url,mule,,,,,,
20846544,How to upload a file using Quickbase API in C#?,https://stackoverflow.com/questions/20846544,,,,,,,uploading file,,,,,,,
21042729,Vinyl: compose record type aliases,https://stackoverflow.com/questions/21042729,,,,,,, type-level array syntax,,,,,,,
21122367,Problems running jQuery in Quickbase,https://stackoverflow.com/questions/21122367,,,,,,,scripting,jQuery,,,,,,
21177958,Python 2 Zoho Post Error?,https://stackoverflow.com/questions/21177958,,,,,,,http post,,,,,,,
21178560,How can i send response message to SOAP Outbound Message in Salesforce,https://stackoverflow.com/questions/21178560,,,,,,, Outbound Message,,,,,,,
21314917,Custom Json to XML convert in PreFlow,https://stackoverflow.com/questions/21314917,,,,,,,multilayer json,,,,,,,
21333391,Cant connect to salesforce using kettle spoon,https://stackoverflow.com/questions/21333391,,,,,,,kettle spoon,database,,,,,,
21404255,Display Fields of Related list in corresponding Page layout,https://stackoverflow.com/questions/21404255,,,,,,,,,,directly looking for solution,,,,
21422363,Related to Chatter in Salesforce,https://stackoverflow.com/questions/21422363,,,,,,,pop-up message deletion,,,,,,,
21422363,Related to Chatter in Salesforce,https://stackoverflow.com/questions/21422363,,,,,,,,,,,,,,
21437901,Haskell: refer to type of value at compile time,https://stackoverflow.com/questions/21437901,,,,,,,explicitly type aliasing,,,,,,,
21473504,Integration with ZOHO invoice,https://stackoverflow.com/questions/21473504,,,,,,,Zoho-invoice api,integration,,,,,,
21492201,Display User Profile Picture from Salesforce in iOS App,https://stackoverflow.com/questions/21492201,,,,,,,displaying profile picture,,,,,,,
