,link,qa,Dominant Topic,Correlation
0,"=HYPERLINK(""https://stackoverflow.com/q/326366"", ""326366"")",q,13,0.4282282579418085
1,"=HYPERLINK(""https://stackoverflow.com/q/359717"", ""359717"")",q,13,0.3531431299111406
2,"=HYPERLINK(""https://stackoverflow.com/q/544097"", ""544097"")",q,5,0.5930758268219568
3,"=HYPERLINK(""https://stackoverflow.com/q/980932"", ""980932"")",q,8,0.7848051501302274
4,"=HYPERLINK(""https://stackoverflow.com/q/1236439"", ""1236439"")",q,15,0.29789162977018757
5,"=HYPERLINK(""https://stackoverflow.com/q/1258834"", ""1258834"")",q,13,0.29251364154224374
6,"=HYPERLINK(""https://stackoverflow.com/q/2022549"", ""2022549"")",q,15,0.3135637645274264
7,"=HYPERLINK(""https://stackoverflow.com/q/2377082"", ""2377082"")",q,13,0.3950058655941009
8,"=HYPERLINK(""https://stackoverflow.com/q/2566385"", ""2566385"")",q,10,0.381107138988192
9,"=HYPERLINK(""https://stackoverflow.com/q/2615337"", ""2615337"")",q,5,0.558940488476092
10,"=HYPERLINK(""https://stackoverflow.com/q/3016015"", ""3016015"")",q,13,0.7280605898160175
11,"=HYPERLINK(""https://stackoverflow.com/q/3578981"", ""3578981"")",q,5,0.65406162464986
12,"=HYPERLINK(""https://stackoverflow.com/q/3700594"", ""3700594"")",q,8,0.258806086537179
13,"=HYPERLINK(""https://stackoverflow.com/q/3906522"", ""3906522"")",q,13,0.36883006963413223
14,"=HYPERLINK(""https://stackoverflow.com/q/3990732"", ""3990732"")",q,13,0.6025189101857973
15,"=HYPERLINK(""https://stackoverflow.com/q/4432075"", ""4432075"")",q,4,0.7601550261978068
16,"=HYPERLINK(""https://stackoverflow.com/q/4439797"", ""4439797"")",q,4,0.8113349449368789
17,"=HYPERLINK(""https://stackoverflow.com/q/4556252"", ""4556252"")",q,8,0.38410350927838094
18,"=HYPERLINK(""https://stackoverflow.com/q/4598926"", ""4598926"")",q,14,0.290240079201386
19,"=HYPERLINK(""https://stackoverflow.com/q/4804623"", ""4804623"")",q,13,0.5886215092097445
