link,Correlation
"=HYPERLINK(""https://stackoverflow.com/a/1236439"", ""1236439"")",0.2459016393442623
"=HYPERLINK(""https://stackoverflow.com/a/7699717"", ""7699717"")",0.22641509433962265
"=HYPERLINK(""https://stackoverflow.com/a/13085151"", ""13085151"")",0.22431865828092243
"=HYPERLINK(""https://stackoverflow.com/a/13561945"", ""13561945"")",0.2523809523809524
"=HYPERLINK(""https://stackoverflow.com/a/27748865"", ""27748865"")",0.23529411764705882
"=HYPERLINK(""https://stackoverflow.com/a/29606122"", ""29606122"")",0.2704149933065596
"=HYPERLINK(""https://stackoverflow.com/a/30487441"", ""30487441"")",0.2391713747645951
"=HYPERLINK(""https://stackoverflow.com/a/31052944"", ""31052944"")",0.2413793103448276
"=HYPERLINK(""https://stackoverflow.com/a/31838520"", ""31838520"")",0.3160040774719674
"=HYPERLINK(""https://stackoverflow.com/a/32380983"", ""32380983"")",0.3737997256515775
"=HYPERLINK(""https://stackoverflow.com/a/32723648"", ""32723648"")",0.24888888888888888
"=HYPERLINK(""https://stackoverflow.com/a/32791968"", ""32791968"")",0.30814814814814817
"=HYPERLINK(""https://stackoverflow.com/a/32833023"", ""32833023"")",0.23214285714285715
"=HYPERLINK(""https://stackoverflow.com/a/34814468"", ""34814468"")",0.2907801418439716
"=HYPERLINK(""https://stackoverflow.com/a/35041549"", ""35041549"")",0.2644757433489828
"=HYPERLINK(""https://stackoverflow.com/a/35776176"", ""35776176"")",0.21153846153846154
"=HYPERLINK(""https://stackoverflow.com/a/35894935"", ""35894935"")",0.23728813559322035
"=HYPERLINK(""https://stackoverflow.com/a/38376454"", ""38376454"")",0.3168724279835391
"=HYPERLINK(""https://stackoverflow.com/a/38699998"", ""38699998"")",0.2831541218637993
"=HYPERLINK(""https://stackoverflow.com/a/39232599"", ""39232599"")",0.34509803921568627
"=HYPERLINK(""https://stackoverflow.com/a/39490200"", ""39490200"")",0.26666666666666666
"=HYPERLINK(""https://stackoverflow.com/a/39493708"", ""39493708"")",0.2822822822822823
"=HYPERLINK(""https://stackoverflow.com/a/40159662"", ""40159662"")",0.265993265993266
"=HYPERLINK(""https://stackoverflow.com/a/41233968"", ""41233968"")",0.2388250319284802
"=HYPERLINK(""https://stackoverflow.com/a/41438021"", ""41438021"")",0.21568627450980393
"=HYPERLINK(""https://stackoverflow.com/a/41860322"", ""41860322"")",0.34782608695652173
"=HYPERLINK(""https://stackoverflow.com/a/41867303"", ""41867303"")",0.3602150537634409
"=HYPERLINK(""https://stackoverflow.com/a/42010994"", ""42010994"")",0.2672672672672673
"=HYPERLINK(""https://stackoverflow.com/a/42227249"", ""42227249"")",0.2904040404040404
"=HYPERLINK(""https://stackoverflow.com/a/42238738"", ""42238738"")",0.3166666666666667
"=HYPERLINK(""https://stackoverflow.com/a/42672196"", ""42672196"")",0.3459915611814346
"=HYPERLINK(""https://stackoverflow.com/a/42914503"", ""42914503"")",0.21153846153846154
"=HYPERLINK(""https://stackoverflow.com/a/43097927"", ""43097927"")",0.26958105646630237
"=HYPERLINK(""https://stackoverflow.com/a/43480568"", ""43480568"")",0.4574574574574575
"=HYPERLINK(""https://stackoverflow.com/a/43725028"", ""43725028"")",0.28
