link,Correlation
"=HYPERLINK(""https://stackoverflow.com/a/1236439"", ""1236439"")",0.4464724680432644
"=HYPERLINK(""https://stackoverflow.com/a/13085151"", ""13085151"")",0.3402777777777779
"=HYPERLINK(""https://stackoverflow.com/a/13561945"", ""13561945"")",0.5081456456456457
"=HYPERLINK(""https://stackoverflow.com/a/31838520"", ""31838520"")",0.6809887100380058
"=HYPERLINK(""https://stackoverflow.com/a/32380983"", ""32380983"")",0.44662353721799974
"=HYPERLINK(""https://stackoverflow.com/a/32772409"", ""32772409"")",0.17701247165532882
"=HYPERLINK(""https://stackoverflow.com/a/34814468"", ""34814468"")",0.4026119952844089
"=HYPERLINK(""https://stackoverflow.com/a/35894935"", ""35894935"")",0.3276775486827033
"=HYPERLINK(""https://stackoverflow.com/a/38014078"", ""38014078"")",0.4048772609819121
"=HYPERLINK(""https://stackoverflow.com/a/38866325"", ""38866325"")",0.34027777777777785
"=HYPERLINK(""https://stackoverflow.com/a/39108557"", ""39108557"")",0.32674299653761407
"=HYPERLINK(""https://stackoverflow.com/a/39490200"", ""39490200"")",0.260383597883598
"=HYPERLINK(""https://stackoverflow.com/a/39493708"", ""39493708"")",0.6462173579109063
"=HYPERLINK(""https://stackoverflow.com/a/40159662"", ""40159662"")",0.38203522149600583
"=HYPERLINK(""https://stackoverflow.com/a/41438021"", ""41438021"")",0.12815656565656566
"=HYPERLINK(""https://stackoverflow.com/a/41638663"", ""41638663"")",0.4094281045751634
"=HYPERLINK(""https://stackoverflow.com/a/41945601"", ""41945601"")",0.7375245821042281
"=HYPERLINK(""https://stackoverflow.com/a/42238738"", ""42238738"")",0.6667328042328043
"=HYPERLINK(""https://stackoverflow.com/a/42470252"", ""42470252"")",0.35664298018949175
"=HYPERLINK(""https://stackoverflow.com/a/42672196"", ""42672196"")",0.6839872460008648
"=HYPERLINK(""https://stackoverflow.com/a/43261170"", ""43261170"")",0.19487311385459533
"=HYPERLINK(""https://stackoverflow.com/a/43860901"", ""43860901"")",0.33657407407407414
"=HYPERLINK(""https://stackoverflow.com/a/44013975"", ""44013975"")",0.4590936739659368
"=HYPERLINK(""https://stackoverflow.com/a/44080566"", ""44080566"")",0.7483858858858858
"=HYPERLINK(""https://stackoverflow.com/a/44106979"", ""44106979"")",0.25774316648917284
"=HYPERLINK(""https://stackoverflow.com/a/44416531"", ""44416531"")",0.3050287356321839
"=HYPERLINK(""https://stackoverflow.com/a/44641222"", ""44641222"")",0.2716906721536351
"=HYPERLINK(""https://stackoverflow.com/a/45120914"", ""45120914"")",0.6545852359208525
"=HYPERLINK(""https://stackoverflow.com/a/45245708"", ""45245708"")",0.5787800162800163
"=HYPERLINK(""https://stackoverflow.com/a/45324749"", ""45324749"")",0.4668927648578811
"=HYPERLINK(""https://stackoverflow.com/a/45555483"", ""45555483"")",0.2510019347705915
"=HYPERLINK(""https://stackoverflow.com/a/45672938"", ""45672938"")",0.37417909123180687
