Id,AcceptedAnswerId,Link
326366,598997.0,https://stackoverflow.com/a/598997
359717,359725.0,https://stackoverflow.com/a/359725
980932,981468.0,https://stackoverflow.com/a/981468
1236439,1237753.0,https://stackoverflow.com/a/1237753
1258834,1745701.0,https://stackoverflow.com/a/1745701
2022549,2022612.0,https://stackoverflow.com/a/2022612
3016015,3027087.0,https://stackoverflow.com/a/3027087
4432075,4439199.0,https://stackoverflow.com/a/4439199
4439797,4440086.0,https://stackoverflow.com/a/4440086
4556252,4556306.0,https://stackoverflow.com/a/4556306
4598926,4599012.0,https://stackoverflow.com/a/4599012
7048854,7054864.0,https://stackoverflow.com/a/7054864
7304006,7304926.0,https://stackoverflow.com/a/7304926
7679733,7679766.0,https://stackoverflow.com/a/7679766
7699717,7699893.0,https://stackoverflow.com/a/7699893
7839597,7840406.0,https://stackoverflow.com/a/7840406
8123314,8123492.0,https://stackoverflow.com/a/8123492
8657698,8684270.0,https://stackoverflow.com/a/8684270
9054254,9265257.0,https://stackoverflow.com/a/9265257
9168994,9169068.0,https://stackoverflow.com/a/9169068
9391137,9391270.0,https://stackoverflow.com/a/9391270
9588748,9594781.0,https://stackoverflow.com/a/9594781
9802779,9819996.0,https://stackoverflow.com/a/9819996
9980294,9980586.0,https://stackoverflow.com/a/9980586
10170940,10252355.0,https://stackoverflow.com/a/10252355
10170940,10252355.0,https://stackoverflow.com/a/10252355
10247749,10250659.0,https://stackoverflow.com/a/10250659
10476572,12054906.0,https://stackoverflow.com/a/12054906
10673123,14028360.0,https://stackoverflow.com/a/14028360
10690115,10690347.0,https://stackoverflow.com/a/10690347
10784169,10799868.0,https://stackoverflow.com/a/10799868
10919857,10920256.0,https://stackoverflow.com/a/10920256
10923870,10932631.0,https://stackoverflow.com/a/10932631
11064969,11094651.0,https://stackoverflow.com/a/11094651
11248169,11261580.0,https://stackoverflow.com/a/11261580
11306027,11341045.0,https://stackoverflow.com/a/11341045
11513122,11513164.0,https://stackoverflow.com/a/11513164
11698968,11829600.0,https://stackoverflow.com/a/11829600
12004748,12332663.0,https://stackoverflow.com/a/12332663
12020334,14780863.0,https://stackoverflow.com/a/14780863
12028626,22038885.0,https://stackoverflow.com/a/22038885
12087385,12087521.0,https://stackoverflow.com/a/12087521
12242168,12242211.0,https://stackoverflow.com/a/12242211
12270740,12272004.0,https://stackoverflow.com/a/12272004
12318829,12352032.0,https://stackoverflow.com/a/12352032
12382382,12457158.0,https://stackoverflow.com/a/12457158
12504547,13324584.0,https://stackoverflow.com/a/13324584
12507134,12562924.0,https://stackoverflow.com/a/12562924
12559029,12563297.0,https://stackoverflow.com/a/12563297
12729100,12730363.0,https://stackoverflow.com/a/12730363
12892318,12893712.0,https://stackoverflow.com/a/12893712
13056153,13077220.0,https://stackoverflow.com/a/13077220
13063536,13311108.0,https://stackoverflow.com/a/13311108
13085151,13271771.0,https://stackoverflow.com/a/13271771
13364414,13364451.0,https://stackoverflow.com/a/13364451
13561945,13562256.0,https://stackoverflow.com/a/13562256
13767870,13770391.0,https://stackoverflow.com/a/13770391
13825378,14045742.0,https://stackoverflow.com/a/14045742
13834716,14616115.0,https://stackoverflow.com/a/14616115
13991036,13993121.0,https://stackoverflow.com/a/13993121
14001746,14004283.0,https://stackoverflow.com/a/14004283
14475459,14488291.0,https://stackoverflow.com/a/14488291
14487518,14499499.0,https://stackoverflow.com/a/14499499
14534834,14534961.0,https://stackoverflow.com/a/14534961
14598065,14600959.0,https://stackoverflow.com/a/14600959
15006547,15009709.0,https://stackoverflow.com/a/15009709
15106856,15107526.0,https://stackoverflow.com/a/15107526
15224492,15338014.0,https://stackoverflow.com/a/15338014
15239231,15239965.0,https://stackoverflow.com/a/15239965
15580847,16828645.0,https://stackoverflow.com/a/16828645
15919715,15921805.0,https://stackoverflow.com/a/15921805
16001298,16133529.0,https://stackoverflow.com/a/16133529
16163032,16192342.0,https://stackoverflow.com/a/16192342
16200946,16201141.0,https://stackoverflow.com/a/16201141
16563253,16570139.0,https://stackoverflow.com/a/16570139
16617053,16617200.0,https://stackoverflow.com/a/16617200
16819801,16827336.0,https://stackoverflow.com/a/16827336
