,Prob,Word
0,0.0517525909300944,script
1,0.03822034457719981,function
2,0.024622087266486237,im
3,0.021783616080269325,server
4,0.020793451712984357,project
5,0.019209188725328404,client
6,0.015512575087464519,ive
7,0.014456399762360551,run
8,0.01320219156379959,time
9,0.011155851871410653,call
10,0.011023829955772658,side
11,0.008647435474288732,solut
12,0.00838339164301274,answer
13,0.008317380685193743,question
14,0.007921314938279755,execut
15,0.007855303980460757,document
16,0.0075252491913657665,implement
17,0.006271040992804806,write
18,0.006205030034985808,thing
19,0.006139019077166809,work
20,0.006139019077166809,return
21,0.0060730081193478115,app
22,0.005874975245890818,start
23,0.005742953330252822,basic
24,0.005676942372433824,tool
25,0.00547890949897683,librari
26,0.005412898541157832,find
27,0.00514885470988184,lot
28,0.00514885470988184,order
29,0.005082843752062843,problem
