,Prob,Word
0,0.09292532285233016,script
1,0.0446378439079169,datasourc
2,0.04276623619689313,widget
3,0.04173685195583006,event
4,0.03527980535279805,client
5,0.03340819764177429,server
6,0.026857570653191092,bind
7,0.026576829496537526,model
8,0.025453864869923265,function
9,0.020962006363466217,side
10,0.013756316676024706,load
11,0.013101253977166386,queri
12,0.012446191278308066,option
13,0.01160396780834737,call
14,0.010293842410630732,chang
15,0.010013101253977166,run
16,0.00917087778401647,properti
17,0.008796556241811717,paramet
18,0.00860939547070934,relat
19,0.0077671720007486435,dropdown
20,0.007673591615197454,ui
21,0.007580011229646266,suggest
22,0.007486430844095077,select
23,0.0072992700729927005,ive
24,0.006924948530787947,updat
25,0.006457046603032005,im
26,0.006457046603032005,directori
27,0.005801983904173685,project
28,0.005708403518622496,multiselect
29,0.005614823133071308,countri
